Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Exercise Classification
Stability Ball Dead Bug,https://youtu.be/5jDEulwWs04,https://youtu.be/Sa4ZWmnSC5o,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Supine,Single Arm,Alternating,Neutral,Other,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural
Glute Bridge,https://youtu.be/wMEoGwkk650,https://youtu.be/wPM8icPu6H8,Beginner,Glutes,Gluteus Maximus,,,Bodyweight,0,,,Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,
Bird Dog,https://youtu.be/vzU5xrs1gMQ,https://youtu.be/-LRjkbEy-qU,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Quadruped,Single Arm,Alternating,Flat Palm,No Load,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural
Stability Ball Seated Russian Twist ,https://youtu.be/fh-sDpg1P48,,Beginner,Abdominals,Obliques,Rectus Abdominis ,,Stability Ball,1,,,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Stability Ball Feet Elevated Crunch ,https://youtu.be/ByXVlY2L3nw,https://youtu.be/meo3bhh8NPk,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Supine,No Arms,Continuous,Head Supported,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,
Ring Hanging Knee Raise ,https://youtu.be/vWwjm0IK3m4,,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Rectus Femoris,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Parallette Mountain Climber,https://youtu.be/W0RoAqlFzrA,,Novice,Abdominals,Rectus Abdominis,,,Parallette Bars,2,,,Prone,Double Arm,Continuous,Neutral,No Load,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Parallette Push Up,https://youtu.be/Kbhl_O1N4aw,https://youtu.be/Jrh9F8L2NJ4,Novice,Chest,Pectoralis Major,Triceps Brachii,,Parallette Bars,2,,,Prone,Double Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Knee Hover Bird Dog,https://youtu.be/fGaqVUHB1aA,,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Knee Hover Quadruped,Single Arm,Alternating,Flat Palm,No Load,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural
Stability Ball Pass,https://youtu.be/n4UPDi5BuL0,https://youtu.be/Lrmlsxk3zx4,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Supine,Double Arm,Continuous,Neutral,Other,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Dead Bug,https://youtu.be/jbWmbhElf3Q,https://youtu.be/g_BYB0R-4Ws,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Supine,Single Arm,Alternating,No Grip,No Load,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Postural
